execucao_id,data_entrega,loja,hora_recebimento,demanda_volume,demanda_peso,tipo_entrega,jornada,placa,tipologia,volume_entregue,peso_entregue,capacidade_volume,capacidade_peso,valorFrete,hora_saida
1,2022-01-27,0_CDRJ,12:23,0.0,0.0,G,1,LMB7991,3/4,12.19,2614.6,30.0,4000.0,602.99,10:05
1,2022-01-27,L886,15:09,13.5,3181.0,R,2,LMB7991,3/4,13.5,3181.0,30.0,4000.0,528.7595,14:19
1,2022-01-27,0_CDRJ,16:25,0.0,0.0,G,2,LMB7991,3/4,13.5,3181.0,30.0,4000.0,528.7595,14:19
1,2022-01-27,L121,11:00,12.97,3214.2,G,1,LMS1D98,3/4,12.97,3214.2,30.0,5900.0,622.07,07:53
1,2022-01-27,0_CDRJ,17:01,0.0,0.0,G,1,LMS1D98,3/4,12.97,3214.2,30.0,5900.0,622.07,07:53
1,2022-01-27,L449,13:30,11.07,3009.0,R,1,LMS1E40,3/4,11.07,3009.0,30.0,5900.0,555.98,12:31
1,2022-01-27,0_CDRJ,14:53,0.0,0.0,G,1,LMS1E40,3/4,11.07,3009.0,30.0,5900.0,555.98,12:31
1,2022-01-27,L977,19:39,11.64,2595.6,R,2,LMS1E40,3/4,11.64,2595.6,30.0,5900.0,528.7595,18:26
1,2022-01-27,0_CDRJ,21:30,0.0,0.0,G,2,LMS1E40,3/4,11.64,2595.6,30.0,5900.0,528.7595,18:26
1,2022-01-27,L653,06:30,23.5,4222.1,R,1,LMS1G70,TRUCK,23.5,4222.1,51.0,17000.0,1825.56,05:18
